mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
2531,0,46,0,0,2,0,0,22,22,0,0,0,0,10,0,29,0,289.455626715,0,5.260750229,0,0,0.228728271,0,0,2.516010979,2.516010979,0,0,0,0,1.143641354,0,3.316559927,0,8.744,23.422,0,0,0,0,1,063108ca-8c29-48cc-bec4-ffbada25201e#a3cd779e-27b2-4e56-b592-62572d9690e2#15f4ce5cd,1033,Your Task,Reliable
6,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,5.037783375,0.839630563,5.877413938,0.839630563,0.839630563,0.839630563,0,0,1.679261125,1.679261125,0,0,0,0,0,0,0,0,1.191,0,0,0,1,0,0,30EV7DWJTV7LHQ4787CIZTIIYNHY62#2e8e830d-7d9d-4131-9613-8940ae4423d1#1ATXUM0GBU5MC8,1468,Dates - 2/5,Unreliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,5.06585613,0,7.092198582,1.013171226,1.013171226,1.013171226,0,0,2.026342452,2.026342452,0,0,0,0,0,0,0,0,0.987,0,0,0,1,0,0,30EV7DWJTV7LHQ4787CIZTIIYNHY62#2e8e830d-7d9d-4131-9613-8940ae4423d1#1ATXUM0GBU5MC8,1468,Dates - 3/5,Unreliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,4.237288136,0,4.943502825,0.706214689,0.706214689,0.706214689,0,0,1.412429379,1.412429379,0,0,0,0,0,0,0,0,1.416,0,0,0,1,0,0,30EV7DWJTV7LHQ4787CIZTIIYNHY62#2e8e830d-7d9d-4131-9613-8940ae4423d1#1ATXUM0GBU5MC8,1468,Dates - 4/5,Unreliable
9,8,20,3,3,4,0,1,4,5,0,0,0,0,6,0,0,0,2.003115958,1.780547518,4.451368796,0.667705319,0.667705319,0.890273759,0,0.22256844,0.890273759,1.112842199,0,0,0,0,1.335410639,0,0,0,4.493,0,0,0,1,0,0,30EV7DWJTV7LHQ4787CIZTIIYNHY62#2e8e830d-7d9d-4131-9613-8940ae4423d1#1ATXUM0GBU5MC8,1468,Dates - 5/5,Unreliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,7,0,2.925687537,0,4.095962551,0.585137507,0.585137507,0.585137507,0,0,1.170275015,1.170275015,0,0,0,0,0,0,4.095962551,0,1.709,0,0,0,1,0,0,30U1YOGZGA8N6D7DJOS7ND49YOKSDM#86b69b9b-f008-45b9-a697-16fb1ae15ace#1A8CQ0JA8T70H6,1469,Dates - 3/5,Reliable
4,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,13,0,4.273504274,1.068376068,7.478632479,1.068376068,1.068376068,1.068376068,0,0,2.136752137,2.136752137,0,0,0,0,0,0,13.888888889,0,0.936,0,0,0,1,0,0,32PT7WK7DMRJMWMYT9R6F5WX68E3DY#842286eb-a3b4-49db-b516-b7f0746b15f0#1A2UF73T5FVZKMM,1469,Dates - 2/5,Reliable
4,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,13,0,4.273504274,1.068376068,7.478632479,1.068376068,1.068376068,1.068376068,0,0,2.136752137,2.136752137,0,0,0,0,0,0,13.888888889,0,0.936,0,0,0,1,0,0,32PT7WK7DMRJMWMYT9R6F5WX68E3DY#db619875-27a6-4399-acfb-7efd4499aaeb#1A2UF73T5FVZKMM,1469,Dates - 2/5,Reliable
43,1,15,1,1,1,0,0,6,6,0,0,0,0,1,0,19,0,8.452919206,0.196579516,2.948692746,0.196579516,0.196579516,0.196579516,0,0,1.179477098,1.179477098,0,0,0,0,0.196579516,0,3.735010812,0,5.087,0,0,0,1,0,0,334ZEL5JX6REAAY29X6NY7G8228OSW#eed7e88e-42ac-4bfc-83e1-1f57e88fe042#1A29I22QPVPA5KP,1468,Dates - 2/5,Reliable
7,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,12.455516014,0,12.455516014,1.779359431,1.779359431,1.779359431,0,0,3.558718861,3.558718861,0,0,0,0,0,0,0,0,0.562,0,0,0,0,1,0,334ZEL5JX6REAAY29X6NY7G823DOS3#c2c279e9-a829-430d-813c-8d587ab09a02#1A29I22QPVPA5KP,1468,Table - 4/7,Reliable
5,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,7,0,3.55366027,0.710732054,4.975124378,0.710732054,0.710732054,0.710732054,0,0,1.421464108,1.421464108,0,0,0,0,0,0,4.975124378,0,1.407,0,0,0,1,0,0,356TQKY9XF9P6KRUEDJG6UUC0JB87A#39686c51-83bd-49eb-b9ef-ff26293a092a#1A8CQ0JA8T70H6,1469,Dates - 3/5,Reliable
64,2,28,2,2,6,0,0,9,9,0,0,0,0,0,0,32,0,16.469377252,0.514668039,7.205352548,0.514668039,0.514668039,1.544004117,0,0,2.316006176,2.316006176,0,0,0,0,0,0,8.234688626,0,3.886,0,0,0,1,0,0,373094e3-f13a-4bbc-885c-cc1f4e000827#fbd128b2-95c8-493f-8b87-07a46e24bd72#17b185eef,1470,Dates - 2/5,Reliable
67,2,30,2,2,8,0,0,9,9,0,0,0,0,0,0,32,0,18.788558609,0.560852496,8.412787437,0.560852496,0.560852496,2.243409983,0,0,2.523836231,2.523836231,0,0,0,0,0,0,8.973639933,0,3.566,0,0,0,1,0,0,373094e3-f13a-4bbc-885c-cc1f4e000827#fbd128b2-95c8-493f-8b87-07a46e24bd72#17b185eef,1470,Dates - 4/5,Reliable
6,4,10,2,2,2,0,0,2,2,0,0,0,0,1,0,7,0,2.887391723,1.924927815,4.812319538,0.962463908,0.962463908,0.962463908,0,0,0.962463908,0.962463908,0,0,0,0,0.481231954,0,3.368623677,0,2.078,0,0,0,1,0,0,3CRWSLD91KGBCFLXP0A1MYH2ADQMOI#f866795e-68f6-4173-98c0-6f40ff7b89df#1A2UF73T5FVZKMM,1469,Dates - 4/5,Reliable
6,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,7,0,3.273322422,0.545553737,3.818876159,0.545553737,0.545553737,0.545553737,0,0,1.091107474,1.091107474,0,0,0,0,0,0,3.818876159,0,1.833,0,0,0,1,0,0,3L7SUC0TTU6Q9YTENF8QWXLKCAU0MQ#90012e00-6e6d-4cc9-a1bf-a9fa14c50a6d#1A8CQ0JA8T70H6,1469,Dates - 3/5,Reliable
6,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,6,0,2.553191489,0.425531915,2.978723404,0.425531915,0.425531915,0.425531915,0,0,0.85106383,0.85106383,0,0,0,0,0,0,2.553191489,0,2.35,0,0,0,1,0,0,3L7SUC0TTU6Q9YTENF8QWXLKCAU0MQ#90012e00-6e6d-4cc9-a1bf-a9fa14c50a6d#1A8CQ0JA8T70H6,1469,Dates - 4/5,Reliable
6,4,7,1,1,1,0,0,2,2,0,0,0,0,1,0,7,0,2.669039146,1.779359431,3.113879004,0.444839858,0.444839858,0.444839858,0,0,0.889679715,0.889679715,0,0,0,0,0.444839858,0,3.113879004,0,2.248,0,0,0,1,0,0,3M93N4X8HKZ09Z75TKEIQBZM38HSJ0#960bbc94-7b3a-4bf3-922a-ff8f170c0710#1A8CQ0JA8T70H6,1469,Dates - 2/5,Reliable
6,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,7,0,3.649635036,0.608272506,4.257907543,0.608272506,0.608272506,0.608272506,0,0,1.216545012,1.216545012,0,0,0,0,0,0,4.257907543,0,1.644,0,0,0,1,0,0,3M93N4X8HKZ09Z75TKEIQBZM38HSJ0#960bbc94-7b3a-4bf3-922a-ff8f170c0710#1A8CQ0JA8T70H6,1469,Dates - 3/5,Reliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,7,0,3.346720214,0,4.6854083,0.669344043,0.669344043,0.669344043,0,0,1.338688086,1.338688086,0,0,0,0,0,0,4.6854083,0,1.494,0,0,0,1,0,0,3M93N4X8HKZ09Z75TKEIQBZM38HSJ0#960bbc94-7b3a-4bf3-922a-ff8f170c0710#1A8CQ0JA8T70H6,1469,Dates - 4/5,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,10.273972603,0,11.98630137,1.712328767,1.712328767,1.712328767,0,0,3.424657534,3.424657534,0,0,0,0,0,0,0,0,0.584,0,0,0,0,1,0,3NBFJK3IOHUBK5PBEXC69TX5ERGGO6#ac122a86-ef64-4a3a-8765-9613c8f18787#1A29I22QPVPA5KP,1468,Table - 4/7,Reliable
8,5,7,1,1,1,0,0,2,2,0,0,0,0,4,0,0,0,2.628984555,1.643115347,2.300361485,0.328623069,0.328623069,0.328623069,0,0,0.657246139,0.657246139,0,0,0,0,1.314492277,0,0,0,3.043,0,0,0,1,0,0,3WKGUBL7SZYN24TU64UD8NW8TH0L45#556ea806-450d-47ad-b177-cdc4c3e11f78#1ATXUM0GBU5MC8,1468,Dates - 2/5,Unreliable
1,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,6.41025641,0,44.871794872,6.41025641,6.41025641,6.41025641,0,0,12.820512821,12.820512821,0,0,0,0,0,0,0,0,0.156,0,0,0,1,0,0,3WKGUBL7SZYN24TU64UD8NW8TH0L45#556ea806-450d-47ad-b177-cdc4c3e11f78#1ATXUM0GBU5MC8,1468,Dates - 4/5,Unreliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,13.605442177,0,15.873015873,2.267573696,2.267573696,2.267573696,0,0,4.535147392,4.535147392,0,0,0,0,0,0,0,0,0.441,0,0,0,0,1,0,6eee679-8359-4415-afa2-279ae3e50d12#eb9ee99e-6a2c-4766-b207-0d072b3c5e92#1bcaa15f9,1470,Table - 3/7,Reliable
3,0,8,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,9.118541033,0,24.316109422,3.039513678,3.039513678,3.039513678,0,3.039513678,6.079027356,6.079027356,0,0,0,0,0,0,0,0,0.329,0,0,0,0,1,0,6eee679-8359-4415-afa2-279ae3e50d12#eb9ee99e-6a2c-4766-b207-0d072b3c5e92#1bcaa15f9,1470,Table - 4/7,Reliable
7,0,14,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,15.317286652,0,30.634573304,4.376367615,4.376367615,4.376367615,0,0,8.75273523,8.75273523,0,0,0,0,0,0,0,0,0.457,0,0,0,0,1,0,6eee679-8359-4415-afa2-279ae3e50d12#eb9ee99e-6a2c-4766-b207-0d072b3c5e92#1bcaa15f9,1470,Table - 5/7,Reliable
6,0,14,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,12.684989429,0,29.598308668,4.22832981,4.22832981,4.22832981,0,0,8.456659619,8.456659619,0,0,0,0,0,0,0,0,0.473,0,0,0,0,1,0,6eee679-8359-4415-afa2-279ae3e50d12#eb9ee99e-6a2c-4766-b207-0d072b3c5e92#1bcaa15f9,1470,Table - 6/7,Reliable
53,2,23,2,2,5,0,0,7,7,0,0,0,0,0,0,23,0,15.286991635,0.576867609,6.633977502,0.576867609,0.576867609,1.442169022,0,0,2.019036631,2.019036631,0,0,0,0,0,0,6.633977502,0,3.467,0,0,0,1,0,0,904cd387-b234-4985-98ec-ea11ce7e6950#3c5a8f30-c176-4bc5-9f55-2bec319fd82e#17b185eef,1470,Dates - 3/5,Reliable
17,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,97.142857143,0,40,5.714285714,5.714285714,5.714285714,0,0,11.428571429,11.428571429,0,0,0,0,0,0,0,0,0.175,12.074,0,0,0,1,0,95c0bbcf-14dc-4a7c-96f3-76a5f998584f#d0f5e7c5-b99e-4cda-bf2c-8397c3cbe059#18c1006be,1470,Table - 4/7,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,12.631578947,0,14.736842105,2.105263158,2.105263158,2.105263158,0,0,4.210526316,4.210526316,0,0,0,0,0,0,0,0,0.475,0,0,0,0,1,0,9af77a0-fa47-4829-ba5e-3c3948ec1b65#0dbd6009-9c9b-478d-92ec-1b1760a2411c#1cf9128a8,1470,Table - 3/7,Reliable
5,0,8,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,11.600928074,0,18.561484919,2.320185615,2.320185615,2.320185615,0,2.320185615,4.64037123,4.64037123,0,0,0,0,0,0,0,0,0.431,0,0,0,0,1,0,9af77a0-fa47-4829-ba5e-3c3948ec1b65#0dbd6009-9c9b-478d-92ec-1b1760a2411c#1cf9128a8,1470,Table - 4/7,Reliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,13.333333333,0,18.666666667,2.666666667,2.666666667,2.666666667,0,0,5.333333333,5.333333333,0,0,0,0,0,0,0,0,0.375,0,0,0,0,1,0,9af77a0-fa47-4829-ba5e-3c3948ec1b65#0dbd6009-9c9b-478d-92ec-1b1760a2411c#1cf9128a8,1470,Table - 5/7,Reliable
4,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,9.803921569,0,17.156862745,2.450980392,2.450980392,2.450980392,0,0,4.901960784,4.901960784,0,0,0,0,0,0,0,0,0.408,0,0,0,0,1,0,9af77a0-fa47-4829-ba5e-3c3948ec1b65#0dbd6009-9c9b-478d-92ec-1b1760a2411c#1cf9128a8,1470,Table - 6/7,Reliable
49,2,21,2,2,3,0,0,7,7,0,0,0,0,0,0,19,0,13.439385628,0.548546352,5.759736698,0.548546352,0.548546352,0.822819528,0,0,1.919912233,1.919912233,0,0,0,0,0,0,5.211190346,0,3.646,0,0,0,1,0,0,9ebaf6e2-3c98-4455-8b74-71f11388a47c#4b921c8b-c131-44a6-8c3d-371a8542d2bb#17b185eef,1470,Dates - 2/5,Reliable
28,2,15,2,2,3,0,0,4,4,0,0,0,0,0,0,9,0,16.519174041,1.179941003,8.849557522,1.179941003,1.179941003,1.769911504,0,0,2.359882006,2.359882006,0,0,0,0,0,0,5.309734513,0,1.695,0,0,0,1,0,0,9ebaf6e2-3c98-4455-8b74-71f11388a47c#4b921c8b-c131-44a6-8c3d-371a8542d2bb#17b185eef,1470,Dates - 3/5,Reliable
73,2,30,2,2,8,0,0,9,9,0,0,0,0,0,0,34,0,20.038429865,0.548998079,8.234971178,0.548998079,0.548998079,2.195992314,0,0,2.470491353,2.470491353,0,0,0,0,0,0,9.332967335,0,3.643,0,0,0,1,0,0,a82623a6-ab48-4361-8b38-d29b293744cd#8d8bbb34-b0ff-4919-80bb-9ffe086b0006#17b185eef,1470,Dates - 3/5,Reliable
71,2,30,2,2,8,0,0,9,9,0,0,0,0,0,0,34,0,18.112244898,0.510204082,7.653061224,0.510204082,0.510204082,2.040816327,0,0,2.295918367,2.295918367,0,0,0,0,0,0,8.673469388,0,3.92,0,0,0,1,0,0,a82623a6-ab48-4361-8b38-d29b293744cd#8d8bbb34-b0ff-4919-80bb-9ffe086b0006#17b185eef,1470,Dates - 4/5,Reliable
31,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,14,0,9.348612786,0,3.920386007,0.301568154,0.301568154,0.301568154,0,0,1.507840772,1.507840772,0,0,0,0,0,0,4.221954162,0,3.316,0,0,0,1,0,0,abbda748-d115-481e-8dd8-a6e276a16964#1e7eb21a-a44d-43f2-a101-f292b2a068ff#1bcaa15f9,1470,Dates - 3/5,Reliable
70,6,107,7,7,7,0,0,19,19,24,0,24,0,17,0,12,23,2.065993743,0.177085178,3.158019007,0.206599374,0.206599374,0.206599374,0,0,0.56076973,0.56076973,0.708340712,0,0.708340712,0,0.501741338,0,0.354170356,0.678826516,33.882,0,0,0,1,0,0,ad67a1eb-abea-44ba-9c6a-9d8c2984d43f#d6c83b4f-40dc-42fd-bd79-3d510d62a02e#1821a2392,1470,Dates - 2/5,Reliable
85,11,126,10,10,10,0,0,22,22,26,0,26,0,8,0,15,17,1.910026516,0.247179902,2.831333423,0.224709002,0.224709002,0.224709002,0,0,0.494359804,0.494359804,0.584243405,0,0.584243405,0,0.179767201,0,0.337063503,0.382005303,44.502,0,0,0,1,0,0,ad67a1eb-abea-44ba-9c6a-9d8c2984d43f#d6c83b4f-40dc-42fd-bd79-3d510d62a02e#1821a2392,1470,Dates - 3/5,Reliable
61,7,84,7,7,8,0,0,17,17,14,0,14,0,11,0,11,8,2.570260818,0.294947963,3.539375553,0.294947963,0.294947963,0.337083386,0,0,0.716302195,0.716302195,0.589895926,0,0.589895926,0,0.463489656,0,0.463489656,0.337083386,23.733,0,0,0,1,0,0,ad67a1eb-abea-44ba-9c6a-9d8c2984d43f#d6c83b4f-40dc-42fd-bd79-3d510d62a02e#1821a2392,1470,Dates - 5/5,Reliable
70,6,107,7,7,7,0,0,19,19,24,0,24,0,17,0,12,23,2.065993743,0.177085178,3.158019007,0.206599374,0.206599374,0.206599374,0,0,0.56076973,0.56076973,0.708340712,0,0.708340712,0,0.501741338,0,0.354170356,0.678826516,33.882,0,0,0,1,0,0,ad67a1eb-abea-44ba-9c6a-9d8c2984d43f#f93ccc83-e65a-4425-8242-0efab9181625#1821a2392,1470,Dates - 2/5,Reliable
