mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class,verbose_text,worker_id,step_id,pattern
46,0,17,1,1,1,0,0,7,7,0,0,0,0,0,0,21,0,13.142857143,0,4.857142857,0.285714286,0.285714286,0.285714286,0,0,2,2,0,0,0,0,0,0,6,0,3.5,0,0,0,1,0,0,3eff5142-afc8-4684-8b3f-fbf3414234c0#9ebac01d-4260-4870-834e-5c23ad239cb3#12ddb4b56,Dates -  3/5,1470,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1470/jobs?id=&platform_job_id=3eff5142-afc8-4684-8b3f-fbf3414234c0 - Workunit: Dates -  3/5 - Pattern: Too fast for a WU,2ddb4b56,1470,Too fast for a WU
32,2,12,1,1,2,0,0,4,4,0,0,0,0,5,0,13,0,8.707482993,0.544217687,3.265306122,0.272108844,0.272108844,0.544217687,0,0,1.088435374,1.088435374,0,0,0,0,1.360544218,0,3.537414966,0,3.675,0,0,0,1,0,0,3eff5142-afc8-4684-8b3f-fbf3414234c0#9ebac01d-4260-4870-834e-5c23ad239cb3#12ddb4b56,Dates -  5/5,1470,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1470/jobs?id=&platform_job_id=3eff5142-afc8-4684-8b3f-fbf3414234c0 - Workunit: Dates -  5/5 - Pattern: Too fast for a WU,2ddb4b56,1470,Too fast for a WU
105,1,21,1,1,1,0,0,9,9,0,0,0,0,0,0,36,0,25.442209838,0.24230676,5.088441968,0.24230676,0.24230676,0.24230676,0,0,2.180760843,2.180760843,0,0,0,0,0,0,8.723043373,0,4.127,36.92,0,0,1,0,0,f24fdb7e-4101-4645-b881-b8aca2f09a5a#62ad1ea3-fd81-4b11-b06a-bba93942ddee#12ddb4b56,Dates -  1/5,1470,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1470/jobs?id=&platform_job_id=f24fdb7e-4101-4645-b881-b8aca2f09a5a - Workunit: Dates -  1/5 - Pattern: Too fast for a WU,2ddb4b56,1470,Too fast for a WU
40,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,17,0,10.529086602,0,3.948407476,0.263227165,0.263227165,0.263227165,0,0,1.57936299,1.57936299,0,0,0,0,0,0,4.474861806,0,3.799,0,0,0,1,0,0,22d6635e-4209-480a-917c-1b74f8916194#fd547bda-a1a5-4a76-ae97-793b0f00575a#14d47513d,Dates -  4/5,1470,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1470/jobs?id=&platform_job_id=22d6635e-4209-480a-917c-1b74f8916194 - Workunit: Dates -  4/5 - Pattern: Too fast for a WU,4d47513d,1470,Too fast for a WU
25,0,11,1,1,1,0,0,4,4,0,0,0,0,0,0,9,0,10,0,4.4,0.4,0.4,0.4,0,0,1.6,1.6,0,0,0,0,0,0,3.6,0,2.5,0,0,0,1,0,0,c2ff8884-7d7d-4203-acad-e39ca236d1d6#b6ceeee6-ae80-4c95-8bab-51fe417a8469#14d47513d,Dates -  2/5,1470,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1470/jobs?id=&platform_job_id=c2ff8884-7d7d-4203-acad-e39ca236d1d6 - Workunit: Dates -  2/5 - Pattern: Too fast for a WU,4d47513d,1470,Too fast for a WU
25,0,11,1,1,1,0,0,4,4,0,0,0,0,0,0,8,0,10.24170422,0,4.506349857,0.409668169,0.409668169,0.409668169,0,0,1.638672675,1.638672675,0,0,0,0,0,0,3.27734535,0,2.441,0,0,0,1,0,0,de8093a7-4a98-4152-af0d-dbadec824350#d477f5db-ea81-48e6-9a87-6deb2769e999#14d47513d,Dates -  4/5,1470,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1470/jobs?id=&platform_job_id=de8093a7-4a98-4152-af0d-dbadec824350 - Workunit: Dates -  4/5 - Pattern: Too fast for a WU,4d47513d,1470,Too fast for a WU
287,0,6,0,0,2,0,0,2,2,0,0,0,0,0,0,22,0,82.447572537,0,1.723642631,0,0,0.574547544,0,0,0.574547544,0.574547544,0,0,0,0,0,0,6.320022982,0,3.481,10.099,0,0,0,0,1,276a8716-f308-4f63-8878-1e2500eefd88#7e798d46-a572-428d-a7e8-c0056c600306#195db0423,Your Task,970,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/970/jobs?id=&platform_job_id=276a8716-f308-4f63-8878-1e2500eefd88 - Workunit: Your Task - Pattern: Too fast for a WU,95db0423,970,Too fast for a WU
1249,0,6,0,0,2,0,0,2,2,0,0,0,0,0,0,29,0,258.645682336,0,1.24249327,0,0,0.414164423,0,0,0.414164423,0.414164423,0,0,0,0,0,0,6.005384138,0,4.829,52.216,0,0,0,0,1,390651e0-6112-43db-adee-1ee36723ea1f#5a396f93-dc2a-4d24-bc04-07adaaa8f2a4#195db0423,Your Task,970,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/970/jobs?id=&platform_job_id=390651e0-6112-43db-adee-1ee36723ea1f - Workunit: Your Task - Pattern: Too fast for a WU,95db0423,970,Too fast for a WU
88,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,20,0,18.932874355,0,0.860585198,0,0,0.430292599,0,0,0.215146299,0.215146299,0,0,0,0,0,0,4.30292599,0,4.648,0,0,0,0,0,1,94a3f204-c9be-4b70-9371-e43d64434a31#f0ef9dbe-2012-44a4-9ebe-50e25b946c59#195db0423,Your Task,970,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/970/jobs?id=&platform_job_id=94a3f204-c9be-4b70-9371-e43d64434a31 - Workunit: Your Task - Pattern: Too fast for a WU,95db0423,970,Too fast for a WU
6,3,10,2,2,2,0,0,2,2,0,0,0,0,0,0,7,0,3.047232098,1.523616049,5.078720163,1.015744033,1.015744033,1.015744033,0,0,1.015744033,1.015744033,0,0,0,0,0,0,3.555104114,0,1.969,0,0,0,1,0,0,3VGZ74AYTGSABGS8OS3FET3OPO5CGZ#0c432597-89b9-46ad-aa62-2437c014792c#1A19H7KOMN55AMU,Dates -  2/5,1469,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1469/jobs?id=&platform_job_id=3VGZ74AYTGSABGS8OS3FET3OPO5CGZ - Workunit: Dates -  2/5 - Pattern: Too fast for a WU,A19H7KOMN55AMU,1469,Too fast for a WU
