mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class
70,2,38,2,2,2,0,0,6,6,10,0,10,0,0,0,21,13,2.623688156,0.074962519,1.424287856,0.074962519,0.074962519,0.074962519,0,0,0.224887556,0.224887556,0.374812594,0,0.374812594,0,0,0,0.787106447,0.487256372,26.68,0,1,0,0,0,0,6961fdd3-03ca-4800-b0ac-5ce58f2c4174#bdc9fffd-804c-47b8-a3b8-3d4f5402856a#1051dfb1a,DatesReha -  1/3,2289,Reliable
60,0,41,1,1,1,0,0,5,5,14,0,14,0,0,0,21,20,2.600892973,0,1.777276865,0.043348216,0.043348216,0.043348216,0,0,0.216741081,0.216741081,0.606875027,0,0.606875027,0,0,0,0.910312541,0.866964324,23.069,0,1,0,0,0,0,6961fdd3-03ca-4800-b0ac-5ce58f2c4174#bdc9fffd-804c-47b8-a3b8-3d4f5402856a#1051dfb1a,DatesReha -  2/3,2289,Reliable
55,3,37,2,2,3,0,0,6,6,9,0,9,0,7,0,19,16,2.28433775,0.124600241,1.536736304,0.083066827,0.083066827,0.124600241,0,0,0.249200482,0.249200482,0.373800723,0,0.373800723,0,0.290733895,0,0.789134859,0.664534618,24.077,0,1,0,0,0,0,6961fdd3-03ca-4800-b0ac-5ce58f2c4174#bdc9fffd-804c-47b8-a3b8-3d4f5402856a#1051dfb1a,DatesReha -  3/3,2289,Reliable
87,3,46,3,3,4,0,0,7,7,11,0,11,0,17,0,21,12,2.820005834,0.09724158,1.491037568,0.09724158,0.09724158,0.129655441,0,0,0.226897021,0.226897021,0.356552462,0,0.356552462,0,0.551035623,0,0.680691063,0.388966322,30.851,0,1,0,0,0,0,c4e38572-89c9-407d-aa2a-75689161a031#8ff5d648-4f7c-4a91-83a6-b2ae0031f5f8#1051dfb1a,DatesReha -  1/1,2289,Reliable
11,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,3,0,4.380724811,0,3.584229391,0.39824771,0.39824771,0.39824771,0,0,1.19474313,1.19474313,0,0,0,0,0,0,1.19474313,0,2.511,0,0,0,1,0,0,9a3705a3-2466-4141-84fa-9b12e98fc19f#d37b811d-8417-401e-bb4c-0353277c9ccc#138aa1992,Dates -  2/5,1470,Reliable
11,1,9,1,1,1,0,0,3,3,0,0,0,0,1,0,3,0,4.923903312,0.447627574,4.028648165,0.447627574,0.447627574,0.447627574,0,0,1.342882722,1.342882722,0,0,0,0,0.447627574,0,1.342882722,0,2.234,0,0,0,1,0,0,9a3705a3-2466-4141-84fa-9b12e98fc19f#d37b811d-8417-401e-bb4c-0353277c9ccc#138aa1992,Dates -  4/5,1470,Reliable
26,0,11,1,1,1,0,0,4,4,0,0,0,0,0,0,9,0,6.951871658,0,2.941176471,0.267379679,0.267379679,0.267379679,0,0,1.069518717,1.069518717,0,0,0,0,0,0,2.406417112,0,3.74,0,0,0,1,0,0,c0b6819a-a943-47a2-b263-df344933417a#a277219c-dc38-43f7-80e1-093c131ff1be#138aa1992,Dates -  2/5,1470,Reliable
18,7,16,2,2,2,0,0,5,5,0,0,0,0,1,0,1,0,4.958677686,1.928374656,4.407713499,0.550964187,0.550964187,0.550964187,0,0,1.377410468,1.377410468,0,0,0,0,0.275482094,0,0.275482094,0,3.63,0,0,0,1,0,0,f71ad0bb-b500-4d8f-b13a-4d6df9637c74#2b39586c-0617-4f9f-8c36-ce20d1aefc7b#14ec02835,Dates -  2/5,1470,Unreliable
13,7,16,2,2,2,0,0,5,5,0,0,0,0,0,0,1,0,3.341902314,1.799485861,4.11311054,0.514138817,0.514138817,0.514138817,0,0,1.285347044,1.285347044,0,0,0,0,0,0,0.257069409,0,3.89,0,0,0,1,0,0,f71ad0bb-b500-4d8f-b13a-4d6df9637c74#2b39586c-0617-4f9f-8c36-ce20d1aefc7b#14ec02835,Dates -  3/5,1470,Unreliable
22,6,16,2,2,2,0,0,5,5,0,0,0,0,0,0,1,0,6.244677831,1.703093954,4.541583877,0.567697985,0.567697985,0.567697985,0,0,1.419244962,1.419244962,0,0,0,0,0,0,0.283848992,0,3.523,0,0,0,1,0,0,f71ad0bb-b500-4d8f-b13a-4d6df9637c74#2b39586c-0617-4f9f-8c36-ce20d1aefc7b#14ec02835,Dates -  4/5,1470,Unreliable
