mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,step_id,DatesReha,Amounts,Dates,Table,Your Task,Prediction,Confidence,confidence_without_cal,recording_id,step_id,workunit_id,class
294,49,72,6,6,6,0,0,27,27,0,0,0,0,45,0,90,0,3.125531553,0.520921925,0.765436299,0.063786358,0.063786358,0.063786358,0,0,0.287038612,0.287038612,0,0,0,0,0.478397687,0,0.956795373,0,94.064,0,1470,0,0,1,0,0,Reliable,0,0.9999925,17eab953-db8b-43ff-a464-9952ebbf399b#3a45df6c-8bdc-4b52-8fbc-5ea46a0a4097#1e812c7b2,1470,Dates - 1/5,Reliable
135,4,29,1,1,1,0,0,13,13,0,0,0,0,3,0,55,0,4.264190278,0.126346379,0.916011245,0.031586595,0.031586595,0.031586595,0,0,0.41062573,0.41062573,0,0,0,0,0.094759784,0,1.737262706,0,31.659,0,1470,0,0,1,0,0,Reliable,0,0.99999535,17eab953-db8b-43ff-a464-9952ebbf399b#3a45df6c-8bdc-4b52-8fbc-5ea46a0a4097#1e812c7b2,1470,Dates - 2/5,Reliable
92,1,21,1,1,1,0,0,9,9,0,0,0,0,1,0,40,0,5.70719603,0.062034739,1.302729529,0.062034739,0.062034739,0.062034739,0,0,0.558312655,0.558312655,0,0,0,0,0.062034739,0,2.481389578,0,16.12,0,1470,0,0,1,0,0,Reliable,0,0.9999956,17eab953-db8b-43ff-a464-9952ebbf399b#3a45df6c-8bdc-4b52-8fbc-5ea46a0a4097#1e812c7b2,1470,Dates - 3/5,Reliable
153,6,36,2,2,2,0,0,15,15,0,0,0,0,2,0,59,0,4.449485256,0.174489618,1.046937707,0.058163206,0.058163206,0.058163206,0,0,0.436224045,0.436224045,0,0,0,0,0.058163206,0,1.715814576,0,34.386,0,1470,0,0,1,0,0,Reliable,0,0.99999535,17eab953-db8b-43ff-a464-9952ebbf399b#3a45df6c-8bdc-4b52-8fbc-5ea46a0a4097#1e812c7b2,1470,Dates - 4/5,Reliable
97,5,25,2,2,3,0,0,9,9,0,0,0,0,9,0,35,0,4.039142203,0.208203206,1.041016032,0.083281283,0.083281283,0.124921924,0,0,0.374765771,0.374765771,0,0,0,0,0.374765771,0,1.457422444,0,24.015,0,1470,0,0,1,0,0,Reliable,0,0.99999547,17eab953-db8b-43ff-a464-9952ebbf399b#3a45df6c-8bdc-4b52-8fbc-5ea46a0a4097#1e812c7b2,1470,Dates - 5/5,Reliable
139,8,34,2,2,2,0,0,14,14,0,0,0,0,1,0,57,0,7.223030555,0.415713989,1.766784452,0.103928497,0.103928497,0.103928497,0,0,0.72749948,0.72749948,0,0,0,0,0.051964249,0,2.96196217,0,19.244,13.641,1470,0,0,1,0,0,Reliable,0,0.99999535,1c0fc293-be1d-4d0c-b7e6-e2bba28fa1f0#b6552b44-38bf-44e4-be38-24c9adbc2d37#13e56602e,1470,Dates - 1/5,Reliable
110,0,27,1,1,1,0,0,12,12,0,0,0,0,2,0,53,0,7.656967841,0,1.879437561,0.069608799,0.069608799,0.069608799,0,0,0.835305583,0.835305583,0,0,0,0,0.139217597,0,3.689266323,0,14.366,0,1470,0,0,1,0,0,Reliable,0,0.99999535,1c0fc293-be1d-4d0c-b7e6-e2bba28fa1f0#b6552b44-38bf-44e4-be38-24c9adbc2d37#13e56602e,1470,Dates - 2/5,Reliable
73,0,19,1,1,1,0,0,8,8,0,0,0,0,1,0,33,0,6.284976324,0,1.635815755,0.086095566,0.086095566,0.086095566,0,0,0.688764529,0.688764529,0,0,0,0,0.086095566,0,2.841153681,0,11.615,0,1470,0,0,1,0,0,Reliable,0,0.9999957,1c0fc293-be1d-4d0c-b7e6-e2bba28fa1f0#b6552b44-38bf-44e4-be38-24c9adbc2d37#13e56602e,1470,Dates - 3/5,Reliable
133,0,27,1,1,1,0,0,12,12,0,0,0,0,1,0,69,0,6.536268921,0,1.326911736,0.049144879,0.049144879,0.049144879,0,0,0.589738549,0.589738549,0,0,0,0,0.049144879,0,3.390996658,0,20.348,0,1470,0,0,1,0,0,Reliable,0,0.99999523,1c0fc293-be1d-4d0c-b7e6-e2bba28fa1f0#b6552b44-38bf-44e4-be38-24c9adbc2d37#13e56602e,1470,Dates - 4/5,Reliable
87,4,18,1,1,2,0,0,7,7,0,0,0,0,4,0,38,0,5.068453248,0.233032333,1.0486455,0.058258083,0.058258083,0.116516167,0,0,0.407806583,0.407806583,0,0,0,0,0.233032333,0,2.213807166,0,17.165,0,1470,0,0,1,0,0,Reliable,0,0.9999956,1c0fc293-be1d-4d0c-b7e6-e2bba28fa1f0#b6552b44-38bf-44e4-be38-24c9adbc2d37#13e56602e,1470,Dates - 5/5,Reliable
