mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
27,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,9,0,2.382423012,0.352951557,0.352951557,0,0,0,0,0,0.176475779,0.176475779,0,0,0,0,0,0,0.794141004,0,11.333,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 1/11,Reliable
17,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.374678332,0,1.029336078,0,0,0,0,0,0.514668039,0.514668039,0,0,0,0,0,0,1.029336078,0,3.886,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 10/11,Reliable
9,3,6,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,2.393617021,0.79787234,1.595744681,0.265957447,0.265957447,0.531914894,0,0,0.265957447,0.265957447,0,0,0,0,0,0,0,0,3.76,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 11/11,Reliable
17,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,3.562447611,0,0.838222967,0,0,0,0,0,0.419111484,0.419111484,0,0,0,0,0,0,0.838222967,0,4.772,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 2/11,Reliable
19,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,2.767662054,0,0.582665696,0,0,0,0,0,0.291332848,0.291332848,0,0,0,0,0,0,0.582665696,0,6.865,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 3/11,Reliable
15,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.423473902,0,1.17959304,0,0,0,0,0,0.58979652,0.58979652,0,0,0,0,0,0,1.17959304,0,3.391,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 4/11,Reliable
18,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,5.193306405,0,1.15406809,0,0,0,0,0,0.577034045,0.577034045,0,0,0,0,0,0,1.15406809,0,3.466,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 5/11,Reliable
16,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4.366812227,0,1.091703057,0,0,0,0,0,0.545851528,0.545851528,0,0,0,0,0,0,1.091703057,0,3.664,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 6/11,Reliable
16,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,6.012777151,0,1.503194288,0,0,0,0,0,0.751597144,0.751597144,0,0,0,0,0,0,1.503194288,0,2.661,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 7/11,Reliable
15,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,5.762581637,0,1.536688436,0,0,0,0,0,0.768344218,0.768344218,0,0,0,0,0,0,1.536688436,0,2.603,0,0,1,0,0,0,26734382-d862-49b7-b22c-1fa400af9b21#74120737-ba7d-4a2c-8623-116e150fc4b5#12bf6efc2,1470,Amounts - 8/11,Reliable
