mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
33,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,14,0,8.999181893,0,3.545132261,0.272702482,0.272702482,0.272702482,0,0,1.363512408,1.363512408,0,0,0,0,0,0,3.817834742,0,3.667,0,0,0,1,0,0,7de5da14-a7be-4b03-80c0-2d8a091c02fa#dba59cde-b023-49cf-bad9-02f8e0c41942#15e76dfa4,1470,Dates - 4/5,Reliable
14,0,10,1,1,2,0,0,3,3,0,0,0,0,1,0,1,0,3.899721448,0,2.78551532,0.278551532,0.278551532,0.557103064,0,0,0.835654596,0.835654596,0,0,0,0,0.278551532,0,0.278551532,0,3.59,0,0,0,1,0,0,81c5cd12-981c-496a-bbb6-51a5b1835035#fe2d73e2-6ba5-42b9-b367-6191efea8a9a#15e76dfa4,1470,Dates - 4/5,Reliable
16,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,2,0,5.538248529,0,3.115264798,0.346140533,0.346140533,0.346140533,0,0,1.038421599,1.038421599,0,0,0,0,0,0,0.692281066,0,2.889,0,0,0,1,0,0,fe2e8190-6e54-478b-a3e5-876b8fd6f4f8#9c303afe-679b-40c8-be9e-d609ec7ef8d3#15e76dfa4,1470,Dates - 3/5,Reliable
29,8,12,1,1,1,0,0,5,4,0,0,0,0,0,0,5,0,4.322551796,1.192428082,1.788642123,0.14905351,0.14905351,0.14905351,0,0,0.745267551,0.596214041,0,0,0,0,0,0,0.745267551,0,6.709,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 1/11,Reliable
4,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5.805515239,0,5.805515239,0,0,0,0,0,2.90275762,2.90275762,0,0,0,0,0,0,0,0,0.689,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 10/11,Reliable
6,2,8,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,3.742981909,1.247660636,4.990642545,0.623830318,0.623830318,1.247660636,0,0,1.247660636,1.247660636,0,0,0,0,0,0,0,0,1.603,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 11/11,Reliable
8,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,10.810810811,0,5.405405405,0,0,0,0,0,2.702702703,2.702702703,0,0,0,0,0,0,0,0,0.74,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 2/11,Reliable
4,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6.134969325,0,6.134969325,0,0,0,0,0,3.067484663,3.067484663,0,0,0,0,0,0,0,0,0.652,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 3/11,Reliable
6,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,15.503875969,0,10.335917313,0,0,0,0,0,5.167958656,5.167958656,0,0,0,0,0,0,0,0,0.387,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 4/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,10.224948875,0,8.1799591,0,0,0,0,0,4.08997955,4.08997955,0,0,0,0,0,0,0,0,0.489,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 5/11,Reliable
3,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7.009345794,0,9.345794393,0,0,0,0,0,4.672897196,4.672897196,0,0,0,0,0,0,0,0,0.428,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 6/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,9.259259259,0,7.407407407,0,0,0,0,0,3.703703704,3.703703704,0,0,0,0,0,0,0,0,0.54,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 7/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,8.976660682,0,7.181328546,0,0,0,0,0,3.590664273,3.590664273,0,0,0,0,0,0,0,0,0.557,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 8/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5.760368664,0,4.608294931,0,0,0,0,0,2.304147465,2.304147465,0,0,0,0,0,0,0,0,0.868,0,0,1,0,0,0,dd450bd4-64be-4ea8-960d-ab3d395de4a9#19c14e23-3b49-4df5-b8fd-12fc2a77f1df#16665dd46,1470,Amounts - 9/11,Reliable
14,3,4,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0,5.481597494,1.174628034,1.566170713,0,0,0,0,0,0.783085356,0.783085356,0,0,0,0,0,0,1.957713391,0,2.554,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 1/11,Reliable
4,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6.379585327,0,6.379585327,0,0,0,0,0,3.189792663,3.189792663,0,0,0,0,0,0,0,0,0.627,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 10/11,Reliable
7,3,8,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,2.953586498,1.265822785,3.375527426,0.421940928,0.421940928,0.843881857,0,0,0.843881857,0.843881857,0,0,0,0,0,0,0,0,2.37,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 11/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,9.861932939,0,7.889546351,0,0,0,0,0,3.944773176,3.944773176,0,0,0,0,0,0,0,0,0.507,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 2/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,11.037527594,0,8.830022075,0,0,0,0,0,4.415011038,4.415011038,0,0,0,0,0,0,0,0,0.453,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 3/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,11.876484561,0,9.501187648,0,0,0,0,0,4.750593824,4.750593824,0,0,0,0,0,0,0,0,0.421,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 4/11,Reliable
3,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6.382978723,0,8.510638298,0,0,0,0,0,4.255319149,4.255319149,0,0,0,0,0,0,0,0,0.47,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 5/11,Reliable
6,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,14.018691589,0,9.345794393,0,0,0,0,0,4.672897196,4.672897196,0,0,0,0,0,0,0,0,0.428,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 6/11,Reliable
3,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7.125890736,0,9.501187648,0,0,0,0,0,4.750593824,4.750593824,0,0,0,0,0,0,0,0,0.421,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 7/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,9.487666034,0,7.590132827,0,0,0,0,0,3.795066414,3.795066414,0,0,0,0,0,0,0,0,0.527,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 8/11,Reliable
5,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6.345177665,0,5.076142132,0,0,0,0,0,2.538071066,2.538071066,0,0,0,0,0,0,0,0,0.788,0,0,1,0,0,0,ee44f065-5aaf-46f5-a7f2-f48c771161ed#0f38e013-1198-49d6-a122-2f95349bfb0a#16665dd46,1470,Amounts - 9/11,Reliable
43,15,19,2,2,2,0,0,7,6,0,0,0,0,0,0,15,0,3.429300582,1.196267645,1.51527235,0.159502353,0.159502353,0.159502353,0,0,0.558258234,0.478507058,0,0,0,0,0,0,1.196267645,0,12.539,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 1/11,Reliable
22,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,8,0,4.946043165,0,0.899280576,0,0,0,0,0,0.449640288,0.449640288,0,0,0,0,0,0,1.798561151,0,4.448,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 10/11,Reliable
31,5,8,1,1,2,0,0,2,2,0,0,0,0,0,0,10,0,3.31302768,0.534359303,0.854974885,0.106871861,0.106871861,0.213743721,0,0,0.213743721,0.213743721,0,0,0,0,0,0,1.068718606,0,9.357,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 11/11,Reliable
40,8,18,2,2,2,0,0,6,6,0,0,0,0,0,0,14,0,3.292452054,0.658490411,1.481603424,0.164622603,0.164622603,0.164622603,0,0,0.493867808,0.493867808,0,0,0,0,0,0,1.152358219,0,12.149,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 2/11,Reliable
56,10,18,2,2,2,0,0,6,6,0,0,0,0,0,0,16,0,2.80983442,0.501756147,0.903161064,0.100351229,0.100351229,0.100351229,0,0,0.301053688,0.301053688,0,0,0,0,0,0,0.802809834,0,19.93,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 3/11,Reliable
