,recording_id,workunit_id,job_id,worker_id,session_id,start_datetime,mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,median_time_diff,iqr_time_diff,step,field_count,na_count,na_share,class,reason,source
,d2d747d0-cf1b-4144-bcbd-78be1770ac95#4c816b24-d3c1-4360-97c2-302b64d4eab5#19dd70ad4,Page 1 of Dates -  1/5,d2d747d0-cf1b-4144-bcbd-78be1770ac95,9dd70ad4,4c816b24-d3c1-4360-97c2-302b64d4eab5,2024-02-21 02:43:51.000,58,14,23,3,3,3,0,0,7,7,0,0,0,0,0,3,19,0,2.977565583,0.718722727,1.180758766,0.154012013,0.154012013,0.154012013,0,0,0.359361364,0.359361364,0,0,0,0,0,0.154012013,0.975409415,0,19.479,0,,,storm_account25_workflow766,,,,Unreliable,Always 2 inputs,constant_focus_count_+-1.2
,d2d747d0-cf1b-4144-bcbd-78be1770ac95#4c816b24-d3c1-4360-97c2-302b64d4eab5#19dd70ad4,Page 1 of Dates -  2/5,d2d747d0-cf1b-4144-bcbd-78be1770ac95,9dd70ad4,4c816b24-d3c1-4360-97c2-302b64d4eab5,2024-02-21 02:44:10.000,37,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,15,0,5.776736924,0,2.029664325,0.156128025,0.156128025,0.156128025,0,0,0.780640125,0.780640125,0,0,0,0,0,0,2.341920375,0,6.405,0,,,storm_account25_workflow766,,,,Unreliable,Always 2 inputs,constant_focus_count_+-1.2
,d2d747d0-cf1b-4144-bcbd-78be1770ac95#4c816b24-d3c1-4360-97c2-302b64d4eab5#19dd70ad4,Page 1 of Dates -  3/5,d2d747d0-cf1b-4144-bcbd-78be1770ac95,9dd70ad4,4c816b24-d3c1-4360-97c2-302b64d4eab5,2024-02-21 02:44:17.000,45,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,18,0,3.770739065,0,1.089324619,0.083794201,0.083794201,0.083794201,0,0,0.418971007,0.418971007,0,0,0,0,0,0,1.508295626,0,11.934,0,,,storm_account25_workflow766,,,,Unreliable,Always 2 inputs,constant_focus_count_+-1.2
,d2d747d0-cf1b-4144-bcbd-78be1770ac95#4c816b24-d3c1-4360-97c2-302b64d4eab5#19dd70ad4,Page 1 of Dates -  4/5,d2d747d0-cf1b-4144-bcbd-78be1770ac95,9dd70ad4,4c816b24-d3c1-4360-97c2-302b64d4eab5,2024-02-21 02:44:29.000,38,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,15,0,5.474715459,0,1.872928973,0.144071459,0.144071459,0.144071459,0,0,0.720357297,0.720357297,0,0,0,0,0,0,2.161071892,0,6.941,0,,,storm_account25_workflow766,,,,Unreliable,Always 2 inputs,constant_focus_count_+-1.2
,d2d747d0-cf1b-4144-bcbd-78be1770ac95#4c816b24-d3c1-4360-97c2-302b64d4eab5#19dd70ad4,Page 1 of Dates -  5/5,d2d747d0-cf1b-4144-bcbd-78be1770ac95,9dd70ad4,4c816b24-d3c1-4360-97c2-302b64d4eab5,2024-02-21 02:44:35.000,42,6,12,1,1,2,0,0,4,4,0,0,0,0,7,0,14,0,3.529708379,0.504244054,1.008488108,0.084040676,0.084040676,0.168081351,0,0,0.336162703,0.336162703,0,0,0,0,0.58828473,0,1.17656946,0,11.899,0,,,storm_account25_workflow766,,,,Unreliable,Always 2 inputs,constant_focus_count_+-1.2
90,bca43edf-e596-44e2-a93f-ce8100676147#0e29e6c3-7175-4414-803d-db10e7c1e76f#14d47513d,Page 1 of Table -  7/7,bca43edf-e596-44e2-a93f-ce8100676147,4d47513d,0e29e6c3-7175-4414-803d-db10e7c1e76f,2024-02-21 05:44:53.000,184,4,13,2,2,3,0,0,3,3,0,0,0,0,0,0,14,0,53.087132141,1.15406809,3.750721293,0.577034045,0.577034045,0.865551068,0,0,0.865551068,0.865551068,0,0,0,0,0,0,4.039238315,0,3.466,165.925,,,storm_account25_workflow766,,,,Reliable,Low workload,mps_99_ips_50
,82f43d71-e310-4ffb-9fe0-dcde67e85751#0d9dab12-8977-4424-9a8c-f02efafdb08a#118e5d1d8,Page 1 of Dates -  1/5,82f43d71-e310-4ffb-9fe0-dcde67e85751,18e5d1d8,0d9dab12-8977-4424-9a8c-f02efafdb08a,2024-02-21 13:53:44.000,227,2,43,0,0,0,0,0,22,21,0,0,0,0,3,0,68,0,19.42994094,0.171188907,3.6805615,0,0,0,0,0,1.883077977,1.797483523,0,0,0,0,0.25678336,0,5.820422837,0,11.683,98.741,,,storm_account25_workflow766,,,,Reliable,Very fast,mps_99_ips_50
,d9bc2b1-0c6f-4807-a10e-a1c521def358#cb7af8ee-b46e-4c22-b06e-53c4c219c678#18ccc8acd,Page 1 of Table -  1/7,1d9bc2b1-0c6f-4807-a10e-a1c521def358,8ccc8acd,cb7af8ee-b46e-4c22-b06e-53c4c219c678,2024-02-21 19:47:11.000,34,3,7,1,1,1,0,0,2,2,0,0,0,0,2,0,5,0,21.183800623,1.869158879,4.361370717,0.62305296,0.62305296,0.62305296,0,0,1.246105919,1.246105919,0,0,0,0,1.246105919,0,3.115264798,0,1.605,20.412,,,storm_account25_workflow766,,,,Reliable,Empty wus,mps_99_ips_50
17,c53bc554-6bf0-4358-b9af-6f93b228818a#a6a3490c-f0cd-466f-bd37-bcba670326a2#17b185eef,Page 1 of Dates -  1/5,c53bc554-6bf0-4358-b9af-6f93b228818a,7b185eef,a6a3490c-f0cd-466f-bd37-bcba670326a2,2024-02-22 02:44:33.000,140,3,44,1,1,11,0,0,16,15,0,0,0,0,2,0,59,0,18.200728029,0.390015601,5.720228809,0.1300052,0.1300052,1.430057202,0,0,2.080083203,1.950078003,0,0,0,0,0.2600104,0,7.670306812,0,7.692,14.71,,,storm_account25_workflow766,,,,Reliable,Very fast,mps_99_ips_50
12,c53bc554-6bf0-4358-b9af-6f93b228818a#a6a3490c-f0cd-466f-bd37-bcba670326a2#17b185eef,Page 1 of Dates -  3/5,c53bc554-6bf0-4358-b9af-6f93b228818a,7b185eef,a6a3490c-f0cd-466f-bd37-bcba670326a2,2024-02-22 02:45:04.000,73,3,45,5,5,11,0,0,12,12,0,0,0,0,1,0,32,0,17.472474868,0.718046912,10.770703686,1.196744854,1.196744854,2.632838679,0,0,2.87218765,2.87218765,0,0,0,0,0.239348971,0,7.659167066,0,4.178,0,,,storm_account25_workflow766,,,,Reliable,Very fast,mps_99_ips_50
20,c53bc554-6bf0-4358-b9af-6f93b228818a#a6a3490c-f0cd-466f-bd37-bcba670326a2#17b185eef,Page 1 of Dates -  4/5,c53bc554-6bf0-4358-b9af-6f93b228818a,7b185eef,a6a3490c-f0cd-466f-bd37-bcba670326a2,2024-02-22 02:45:08.000,74,3,44,5,5,10,0,0,12,12,0,0,0,0,0,0,33,0,17.217310377,0.697999069,10.237319684,1.163331782,1.163331782,2.326663564,0,0,2.791996277,2.791996277,0,0,0,0,0,0,7.677989763,0,4.298,0,,,storm_account25_workflow766,,,,Reliable,Very fast,mps_99_ips_50
25,c53bc554-6bf0-4358-b9af-6f93b228818a#a6a3490c-f0cd-466f-bd37-bcba670326a2#17b185eef,Page 1 of Dates -  5/5,c53bc554-6bf0-4358-b9af-6f93b228818a,7b185eef,a6a3490c-f0cd-466f-bd37-bcba670326a2,2024-02-22 02:45:12.000,74,3,54,7,7,14,0,0,13,13,0,0,0,0,0,0,33,0,16.70051907,0.67704807,12.186865267,1.579778831,1.579778831,3.159557662,0,0,2.933874972,2.933874972,0,0,0,0,0,0,7.447528775,0,4.431,0,,,storm_account25_workflow766,,,,Reliable,Very fast,mps_99_ips_50
,fb5ba92b-3354-4268-ad2b-9eb5e8bf0c5c#3bed8c17-d1de-4755-a70e-445b008b5535#1c5e2d9db,Page 1 of Dates -  2/5,fb5ba92b-3354-4268-ad2b-9eb5e8bf0c5c,c5e2d9db,3bed8c17-d1de-4755-a70e-445b008b5535,2024-02-22 06:49:27.000,136,1,22,1,1,2,0,0,9,9,0,0,0,0,0,0,37,0,16.666666667,0.12254902,2.696078431,0.12254902,0.12254902,0.245098039,0,0,1.102941176,1.102941176,0,0,0,0,0,0,4.534313725,0,8.16,0,,,storm_account25_workflow766,,,,Reliable,Fast,mps_99_ips_50
,fb5ba92b-3354-4268-ad2b-9eb5e8bf0c5c#3bed8c17-d1de-4755-a70e-445b008b5535#1c5e2d9db,Page 1 of Dates -  3/5,fb5ba92b-3354-4268-ad2b-9eb5e8bf0c5c,c5e2d9db,3bed8c17-d1de-4755-a70e-445b008b5535,2024-02-22 06:49:35.000,180,1,26,1,1,2,0,0,11,11,0,0,0,0,0,0,49,0,16.500137501,0.091667431,2.383353195,0.091667431,0.091667431,0.183334861,0,0,1.008341736,1.008341736,0,0,0,0,0,0,4.491704098,0,10.909,0,,,storm_account25_workflow766,,,,Reliable,Fast,mps_99_ips_50
,a7d47dbf-8fb5-4994-9b4e-1c16374c84be#2e5b3f7f-f609-483a-b1f2-becead50bf60#1c5e2d9db,Page 1 of Dates -  3/5,a7d47dbf-8fb5-4994-9b4e-1c16374c84be,c5e2d9db,2e5b3f7f-f609-483a-b1f2-becead50bf60,2024-02-22 06:54:03.000,134,2,22,1,1,2,0,0,9,9,0,0,0,0,0,0,37,0,17.312661499,0.258397933,2.842377261,0.129198966,0.129198966,0.258397933,0,0,1.162790698,1.162790698,0,0,0,0,0,0,4.780361757,0,7.74,0,,,storm_account25_workflow766,,,,Reliable,Fast,mps_99_ips_50
