mutation_count;mouse_move_count;mouse_interaction_count;mouse_up_count;mouse_down_count;click_count;context_menu_count;dbl_click_count;focus_count;blur_count;touch_start_count;touch_move_departed_count;touch_end_count;touch_cancel_count;scroll_count;viewport_resize_count;input_count;touch_count;mutation_per_second;mouse_move_per_second;mouse_interaction_per_second;mouse_up_per_second;mouse_down_per_second;click_per_second;context_menu_per_second;dbl_click_per_second;focus_per_second;blur_per_second;touch_start_per_second;touch_move_departed_per_second;touch_end_per_second;touch_cancel_per_second;scroll_per_second;viewport_resize_per_second;input_per_second;touch_per_second;active_s;inactivity_s;DatesReha;Amounts;Dates;Table;Your Task;Prediction;Confidence;recording_id;step_id;workunit_id;class
1;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;60.606.060.606.060.600;0.0;4.848.484.848.484.840;60.606.060.606.060.600;60.606.060.606.060.600;60.606.060.606.060.600;0.0;60.606.060.606.060.600;1.212.121.212.121.210;1.212.121.212.121.210;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165;0.0;0;0;1;0;0;Unreliable;0.87962115;14f8f24-d2ca-40ff-9b14-a8ca7503fc93#d554346e-35c7-40d9-83d0-8c166a8333d6#13e586843;1470;Dates -  3/5;Reliable
1;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;5.405.405.405.405.400;0.0;3.783.783.783.783.780;5.405.405.405.405.400;5.405.405.405.405.400;5.405.405.405.405.400;0.0;0.0;1.081.081.081.081.080;1.081.081.081.081.080;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;185;0.0;0;0;1;0;0;Unreliable;0.8681363;14f8f24-d2ca-40ff-9b14-a8ca7503fc93#d554346e-35c7-40d9-83d0-8c166a8333d6#13e586843;1470;Dates -  4/5;Reliable
2;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;10.152.284.263.959.300;0.0;3.553.299.492.385.780;5.076.142.131.979.690;5.076.142.131.979.690;5.076.142.131.979.690;0.0;0.0;10.152.284.263.959.300;10.152.284.263.959.300;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;197;0.0;0;0;1;0;0;Unreliable;0.86028236;14f8f24-d2ca-40ff-9b14-a8ca7503fc93#d554346e-35c7-40d9-83d0-8c166a8333d6#13e586843;1470;Dates -  2/5;Reliable
7;1;14;2;2;2;0;0;4;4;0;0;0;0;0;0;0;0;8.557.457.212.713.930;12.224.938.875.305.600;17.114.914.425.427.800;2.444.987.775.061.120;2.444.987.775.061.120;2.444.987.775.061.120;0.0;0.0;488.997.555.012.225;488.997.555.012.225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;818;0.0;0;0;0;1;0;Unreliable;0.4648927;19819f8-cdf5-4edd-a1fa-53c7c23402ec#c0b0187a-0594-4e47-bb30-a18ab32fcca5#1fed461b9;1470;Table -  6/7;Reliable
6;1;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;13.953.488.372.093.000;23.255.813.953.488.300;186.046.511.627.907;23.255.813.953.488.300;23.255.813.953.488.300;23.255.813.953.488.300;0.0;23.255.813.953.488.300;4.651.162.790.697.670;4.651.162.790.697.670;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;0.0;0;0;0;1;0;Unreliable;0.59717864;2253f7d-4cfd-446d-8bd4-e03236b90a86#09ee181d-3f09-4142-b7b0-d5183ca6ba32#1f814b796;1470;Table -  3/7;Reliable
5;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;11.848.341.232.227.400;0.0;16.587.677.725.118.400;23.696.682.464.454.900;23.696.682.464.454.900;23.696.682.464.454.900;0.0;0.0;4.739.336.492.890.990;4.739.336.492.890.990;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;422;0.0;0;0;0;1;0;Unreliable;0.529567;2253f7d-4cfd-446d-8bd4-e03236b90a86#09ee181d-3f09-4142-b7b0-d5183ca6ba32#1f814b796;1470;Table -  4/7;Reliable
4;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;1.095.890.410.958.900;0.0;2.191.780.821.917.800;273.972.602.739.726;273.972.602.739.726;273.972.602.739.726;0.0;273.972.602.739.726;547.945.205.479.452;547.945.205.479.452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365;0.0;0;1;0;0;0;Unreliable;0.73508424;50917be-8857-4c98-bcb4-dc538b02ad65#4714f07b-a0f3-4a44-925e-b848e5553d1b#11b8efd1b;1470;Amounts -  7/11;Reliable
3;0;7;1;1;1;0;0;2;2;0;0;0;0;0;0;0;0;7.556.675.062.972.290;0.0;17.632.241.813.602.000;25.188.916.876.574.300;25.188.916.876.574.300;25.188.916.876.574.300;0.0;0.0;5.037.783.375.314.860;5.037.783.375.314.860;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397;0.0;0;1;0;0;0;Unreliable;0.53785336;50917be-8857-4c98-bcb4-dc538b02ad65#4714f07b-a0f3-4a44-925e-b848e5553d1b#11b8efd1b;1470;Amounts -  8/11;Reliable
5;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;4.975.124.378.109.450;0.0;1.492.537.313.432.830;19.900.497.512.437.800;19.900.497.512.437.800;19.900.497.512.437.800;0.0;0.9950248756218908;39.800.995.024.875.600;39.800.995.024.875.600;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1005;0.0;0;1;0;0;0;Unreliable;0.51981294;50917be-8857-4c98-bcb4-dc538b02ad65#4714f07b-a0f3-4a44-925e-b848e5553d1b#11b8efd1b;1470;Amounts -  4/11;Reliable
6;0;13;2;2;1;0;0;4;4;0;0;0;0;0;0;0;0;9.836.065.573.770.490;0.0;21.311.475.409.836.000;3.278.688.524.590.160;3.278.688.524.590.160;1.639.344.262.295.080;0.0;0.0;6.557.377.049.180.320;6.557.377.049.180.320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.61;0.0;0;0;0;1;0;Unreliable;0.6382557;cecc395-b5d5-42d5-8c18-e5cc460db3f3#8f78d638-a08d-42f3-8d93-cbe12d4fdcf3#1bcaa15f9;1470;Table -  5/7;Reliable
